Product Name,Generic Name,Drug Class,Size/Variant,Regular Price (PHP),PWD/Senior Price (PHP),Category,Description,Mechanism of Action,Indications/Uses,Dosage Information,Active Ingredients,Important Information,Contraindications,Warnings/Precautions
Pregabalin (Gabi),Pregabalin,Gabapentinoid / Anticonvulsant / Neuropathic Pain Agent,75mg (10 capsules),300,240,Neuropathic Pain,"Pregabalin (Gabi) is an effective medication for neuropathic pain, fibromyalgia, and generalized anxiety disorder. It works by modulating calcium channels in the nervous system to reduce pain signal transmission and excessive neuronal excitability, providing relief where traditional pain medications may be ineffective.","Binds to the alpha-2-delta subunit of voltage-gated calcium channels in the central nervous system, reducing calcium influx and subsequently decreasing the release of excitatory neurotransmitters (glutamate, substance P, norepinephrine). Increases GABA production, which aids in pain modulation, sleep regulation, and anxiety reduction. Does not bind to GABA receptors directly.","Peripheral and central neuropathic pain (including diabetic neuropathy, post-herpetic neuralgia, spinal cord injury pain), fibromyalgia, and generalized anxiety disorder (GAD). Particularly effective for burning, shooting, or electric-like pain sensations.",Starting dose: 75mg twice daily or 50mg three times daily. May gradually increase to 150-600mg daily in divided doses based on response and tolerability. Maximum: 600mg/day. Take with or without food.,,"May cause dizziness and drowsiness - avoid driving or operating machinery until you know how it affects you. Can improve sleep quality and reduce anxiety in addition to pain relief. Do not stop abruptly - gradual dose reduction over at least 1 week required to prevent withdrawal symptoms (insomnia, nausea, headache, anxiety). Full therapeutic effect may take several weeks.",Hypersensitivity to pregabalin or gabapentin,"May cause physical and psychological dependence. Dose adjustment required in renal impairment - may need 25-75% reduction based on creatinine clearance. May cause weight gain (average 2-6 kg) and peripheral edema. Increased risk of suicidal thoughts and behavior - monitor mental health closely, especially during initial therapy. May cause visual disturbances - report changes in vision. Avoid alcohol - increases sedation and dizziness. May increase risk of respiratory depression when combined with opioids or CNS depressants."
Pregabalin (Gabi),Pregabalin,Gabapentinoid / Anticonvulsant / Neuropathic Pain Agent,75mg (1 capsule),30,24,Neuropathic Pain,"Pregabalin (Gabi) is an effective medication for neuropathic pain, fibromyalgia, and generalized anxiety disorder. It works by modulating calcium channels in the nervous system to reduce pain signal transmission and excessive neuronal excitability, providing relief where traditional pain medications may be ineffective.","Binds to the alpha-2-delta subunit of voltage-gated calcium channels in the central nervous system, reducing calcium influx and subsequently decreasing the release of excitatory neurotransmitters (glutamate, substance P, norepinephrine). Increases GABA production, which aids in pain modulation, sleep regulation, and anxiety reduction. Does not bind to GABA receptors directly.","Peripheral and central neuropathic pain (including diabetic neuropathy, post-herpetic neuralgia, spinal cord injury pain), fibromyalgia, and generalized anxiety disorder (GAD). Particularly effective for burning, shooting, or electric-like pain sensations.",Starting dose: 75mg twice daily or 50mg three times daily. May gradually increase to 150-600mg daily in divided doses based on response and tolerability. Maximum: 600mg/day. Take with or without food.,,"May cause dizziness and drowsiness - avoid driving or operating machinery until you know how it affects you. Can improve sleep quality and reduce anxiety in addition to pain relief. Do not stop abruptly - gradual dose reduction over at least 1 week required to prevent withdrawal symptoms (insomnia, nausea, headache, anxiety). Full therapeutic effect may take several weeks.",Hypersensitivity to pregabalin or gabapentin,"May cause physical and psychological dependence. Dose adjustment required in renal impairment - may need 25-75% reduction based on creatinine clearance. May cause weight gain (average 2-6 kg) and peripheral edema. Increased risk of suicidal thoughts and behavior - monitor mental health closely, especially during initial therapy. May cause visual disturbances - report changes in vision. Avoid alcohol - increases sedation and dizziness. May increase risk of respiratory depression when combined with opioids or CNS depressants."
Pregabalin (Lyrica),Pregabalin,Gabapentinoid / Anticonvulsant / Neuropathic Pain Agent,50mg (1 box),2520,2016,Neuropathic Pain,"Pregabalin (Lyrica) is the branded formulation of pregabalin, clinically proven for managing neuropathic pain, fibromyalgia, and anxiety disorders. It provides effective pain relief by modulating nerve signal transmission and enhancing the body's natural pain-fighting mechanisms, offering hope for patients with difficult-to-treat pain conditions.","Binds to the alpha-2-delta subunit of voltage-gated calcium channels in the central nervous system, reducing calcium influx and subsequently decreasing the release of excitatory neurotransmitters (glutamate, substance P, norepinephrine). Increases GABA production, which aids in pain modulation, sleep regulation, and anxiety reduction.","Neuropathic pain associated with diabetic peripheral neuropathy, post-herpetic neuralgia (shingles pain), spinal cord injury, fibromyalgia, and generalized anxiety disorder (GAD). Effective for chronic pain that has not responded to other treatments.",Starting dose: 50mg three times daily or 75mg twice daily. May increase to 300-600mg daily in 2-3 divided doses based on condition and response. Maximum: 600mg/day. Take with or without food.,,"May cause dizziness and drowsiness - avoid driving until you know how it affects you. Clinical studies show significant pain reduction (>30%) in approximately 1 in 10 patients, with better response rates (up to 40%) at higher doses. Also improves sleep, anxiety, and general patient status. Benefits typically seen within 1 week, with maximum effect by 2-4 weeks.",Hypersensitivity to pregabalin or gabapentin,May cause physical and psychological dependence - classified as controlled substance in many countries. Dose adjustment required in renal impairment. May cause weight gain and peripheral edema. Increased risk of suicidal thoughts and behavior - monitor mental health closely. May cause blurred vision or visual disturbances - report to physician. Avoid alcohol. May enhance effects of opioids and increase risk of respiratory depression. Gradual tapering required when discontinuing - do not stop abruptly.
Pregabalin (Lyrica),Pregabalin,Gabapentinoid / Anticonvulsant / Neuropathic Pain Agent,50mg (10 capsules),450,360,Neuropathic Pain,"Pregabalin (Lyrica) is the branded formulation of pregabalin, clinically proven for managing neuropathic pain, fibromyalgia, and anxiety disorders. It provides effective pain relief by modulating nerve signal transmission and enhancing the body's natural pain-fighting mechanisms, offering hope for patients with difficult-to-treat pain conditions.","Binds to the alpha-2-delta subunit of voltage-gated calcium channels in the central nervous system, reducing calcium influx and subsequently decreasing the release of excitatory neurotransmitters (glutamate, substance P, norepinephrine). Increases GABA production, which aids in pain modulation, sleep regulation, and anxiety reduction.","Neuropathic pain associated with diabetic peripheral neuropathy, post-herpetic neuralgia (shingles pain), spinal cord injury, fibromyalgia, and generalized anxiety disorder (GAD). Effective for chronic pain that has not responded to other treatments.",Starting dose: 50mg three times daily or 75mg twice daily. May increase to 300-600mg daily in 2-3 divided doses based on condition and response. Maximum: 600mg/day. Take with or without food.,,"May cause dizziness and drowsiness - avoid driving until you know how it affects you. Clinical studies show significant pain reduction (>30%) in approximately 1 in 10 patients, with better response rates (up to 40%) at higher doses. Also improves sleep, anxiety, and general patient status. Benefits typically seen within 1 week, with maximum effect by 2-4 weeks.",Hypersensitivity to pregabalin or gabapentin,May cause physical and psychological dependence - classified as controlled substance in many countries. Dose adjustment required in renal impairment. May cause weight gain and peripheral edema. Increased risk of suicidal thoughts and behavior - monitor mental health closely. May cause blurred vision or visual disturbances - report to physician. Avoid alcohol. May enhance effects of opioids and increase risk of respiratory depression. Gradual tapering required when discontinuing - do not stop abruptly.
Pregabalin (Lyrica),Pregabalin,Gabapentinoid / Anticonvulsant / Neuropathic Pain Agent,50mg (1 capsule),45,36,Neuropathic Pain,"Pregabalin (Lyrica) is the branded formulation of pregabalin, clinically proven for managing neuropathic pain, fibromyalgia, and anxiety disorders. It provides effective pain relief by modulating nerve signal transmission and enhancing the body's natural pain-fighting mechanisms, offering hope for patients with difficult-to-treat pain conditions.","Binds to the alpha-2-delta subunit of voltage-gated calcium channels in the central nervous system, reducing calcium influx and subsequently decreasing the release of excitatory neurotransmitters (glutamate, substance P, norepinephrine). Increases GABA production, which aids in pain modulation, sleep regulation, and anxiety reduction.","Neuropathic pain associated with diabetic peripheral neuropathy, post-herpetic neuralgia (shingles pain), spinal cord injury, fibromyalgia, and generalized anxiety disorder (GAD). Effective for chronic pain that has not responded to other treatments.",Starting dose: 50mg three times daily or 75mg twice daily. May increase to 300-600mg daily in 2-3 divided doses based on condition and response. Maximum: 600mg/day. Take with or without food.,,"May cause dizziness and drowsiness - avoid driving until you know how it affects you. Clinical studies show significant pain reduction (>30%) in approximately 1 in 10 patients, with better response rates (up to 40%) at higher doses. Also improves sleep, anxiety, and general patient status. Benefits typically seen within 1 week, with maximum effect by 2-4 weeks.",Hypersensitivity to pregabalin or gabapentin,May cause physical and psychological dependence - classified as controlled substance in many countries. Dose adjustment required in renal impairment. May cause weight gain and peripheral edema. Increased risk of suicidal thoughts and behavior - monitor mental health closely. May cause blurred vision or visual disturbances - report to physician. Avoid alcohol. May enhance effects of opioids and increase risk of respiratory depression. Gradual tapering required when discontinuing - do not stop abruptly.
Zenia-10,Olanzapine,Atypical Antipsychotic / Second-Generation Antipsychotic,10mg (1 box),6900,5520,Antipsychotic,"Zenia-10 (Olanzapine) is an atypical antipsychotic medication effective for treating schizophrenia and bipolar disorder. It helps manage psychotic symptoms such as hallucinations and delusions while stabilizing mood fluctuations, with a well-established safety and efficacy profile for long-term use.","Acts primarily as an antagonist at dopamine D2 receptors and serotonin 5-HT2A receptors in the brain, with higher affinity for serotonin receptors. Also affects multiple other neurotransmitter systems including histaminergic (H1), muscarinic (M1-M5), and adrenergic (α1) receptors. This multi-receptor activity helps regulate mood, thought processes, perception, and behavior.",Schizophrenia in adults and adolescents (13 years and older). Acute treatment of manic or mixed episodes associated with bipolar I disorder. Maintenance treatment of bipolar disorder to prevent relapse. May be used as monotherapy or with lithium/valproate.,"Schizophrenia: Initial 5-10mg once daily, target 10mg, range 5-20mg daily. Bipolar mania: Initial 10-15mg daily, adjust based on response. Take once daily, preferably in evening. May take with or without food.",,"May cause significant weight gain (average 5-10 kg) and metabolic changes (increased blood glucose, cholesterol, triglycerides). Monitor weight, waist circumference, blood sugar, and lipid levels regularly at baseline and during treatment. Provides effective symptom control with improvement usually seen within 1-2 weeks, full effect by 4-6 weeks. Do not stop abruptly - work with physician to gradually taper if discontinuation needed.",Hypersensitivity to olanzapine. Not approved for elderly patients with dementia-related psychosis due to increased mortality risk.,"Risk of metabolic syndrome - regular monitoring required. May cause orthostatic hypotension (dizziness upon standing), drowsiness, and sedation - rise slowly and avoid driving initially. Risk of tardive dyskinesia (involuntary movements) - increases with long-term use, report any abnormal movements. Risk of neuroleptic malignant syndrome (rare but life-threatening) - seek immediate medical help if high fever, muscle rigidity, altered mental status occur. May increase prolactin levels. May lower seizure threshold. Avoid alcohol - enhances sedation. May cause significant sedation - often given at bedtime."
Zenia-10,Olanzapine,Atypical Antipsychotic / Second-Generation Antipsychotic,10mg (30 tablets),2070,1656,Antipsychotic,"Zenia-10 (Olanzapine) is an atypical antipsychotic medication effective for treating schizophrenia and bipolar disorder. It helps manage psychotic symptoms such as hallucinations and delusions while stabilizing mood fluctuations, with a well-established safety and efficacy profile for long-term use.","Acts primarily as an antagonist at dopamine D2 receptors and serotonin 5-HT2A receptors in the brain, with higher affinity for serotonin receptors. Also affects multiple other neurotransmitter systems including histaminergic (H1), muscarinic (M1-M5), and adrenergic (α1) receptors. This multi-receptor activity helps regulate mood, thought processes, perception, and behavior.",Schizophrenia in adults and adolescents (13 years and older). Acute treatment of manic or mixed episodes associated with bipolar I disorder. Maintenance treatment of bipolar disorder to prevent relapse. May be used as monotherapy or with lithium/valproate.,"Schizophrenia: Initial 5-10mg once daily, target 10mg, range 5-20mg daily. Bipolar mania: Initial 10-15mg daily, adjust based on response. Take once daily, preferably in evening. May take with or without food.",,"May cause significant weight gain (average 5-10 kg) and metabolic changes (increased blood glucose, cholesterol, triglycerides). Monitor weight, waist circumference, blood sugar, and lipid levels regularly at baseline and during treatment. Provides effective symptom control with improvement usually seen within 1-2 weeks, full effect by 4-6 weeks. Do not stop abruptly - work with physician to gradually taper if discontinuation needed.",Hypersensitivity to olanzapine. Not approved for elderly patients with dementia-related psychosis due to increased mortality risk.,"Risk of metabolic syndrome - regular monitoring required. May cause orthostatic hypotension (dizziness upon standing), drowsiness, and sedation - rise slowly and avoid driving initially. Risk of tardive dyskinesia (involuntary movements) - increases with long-term use, report any abnormal movements. Risk of neuroleptic malignant syndrome (rare but life-threatening) - seek immediate medical help if high fever, muscle rigidity, altered mental status occur. May increase prolactin levels. May lower seizure threshold. Avoid alcohol - enhances sedation. May cause significant sedation - often given at bedtime."
Zonia-10,Olanzapine ODT,Atypical Antipsychotic / Second-Generation Antipsychotic (ODT Formulation),10mg (30 tablets),2160,1728,Antipsychotic,"Zonia-10 is an orally disintegrating formulation of olanzapine designed for improved convenience and compliance. The ODT formulation dissolves quickly in the mouth without water, making it ideal for patients who have difficulty swallowing tablets or require supervised medication administration to ensure adherence.","Acts primarily as an antagonist at dopamine D2 receptors and serotonin 5-HT2A receptors in the brain. Also affects histaminergic (H1), muscarinic (M1-M5), and adrenergic (α1) receptors. This multi-receptor activity helps regulate mood, thought processes, perception, and behavior.",Schizophrenia in adults and adolescents (13 years and older). Acute treatment of manic or mixed episodes associated with bipolar I disorder. Maintenance treatment of bipolar disorder.,Schizophrenia: 5-20mg once daily (target 10mg). Bipolar disorder: 10-15mg daily. Place tablet on tongue where it disintegrates within seconds; swallow with or without water. Avoid pushing through foil - peel back to remove tablet.,,"ODT formulation offers easier administration - dissolves rapidly within seconds on the tongue without need for water. Bioequivalent to regular tablets. May cause significant weight gain and metabolic changes. Monitor weight, blood sugar, and lipid levels regularly. Improvement in symptoms usually seen within 1-2 weeks.",Hypersensitivity to olanzapine. Not approved for elderly patients with dementia-related psychosis (increased mortality risk).,"Risk of metabolic syndrome (weight gain, hyperglycemia, dyslipidemia) - regular monitoring required. May cause orthostatic hypotension, drowsiness, and dizziness. Risk of tardive dyskinesia and neuroleptic malignant syndrome (rare but serious). Contains phenylalanine (0.45mg per 10mg tablet) - use caution in phenylketonuria. May increase prolactin levels. Avoid alcohol. Do not chew or crush tablet - allow to disintegrate on tongue."
Reone,Risperidone,Atypical Antipsychotic / Second-Generation Antipsychotic,1mg (1 box),3100,2480,Antipsychotic,"Reone (Risperidone) is a second-generation antipsychotic medication used to treat schizophrenia, bipolar disorder, and irritability associated with autism. It effectively manages psychotic symptoms and mood disturbances through balanced dopamine and serotonin receptor modulation, with applications across multiple age groups.","Acts as an antagonist at dopamine D2 receptors and serotonin 5-HT2A receptors with high affinity for both. The balanced antagonism at these receptors helps control positive symptoms (hallucinations, delusions) and negative symptoms (social withdrawal, lack of motivation, flat affect) of schizophrenia while maintaining a lower risk of extrapyramidal symptoms compared to first-generation antipsychotics. Also blocks alpha-1 adrenergic and H1 histamine receptors.","Schizophrenia in adults and adolescents (13+). Acute manic or mixed episodes in bipolar I disorder (monotherapy or with lithium/valproate) in adults and children (10+). Irritability associated with autistic disorder in children and adolescents (5-16 years). Off-label: psychotic symptoms, aggression in dementia, Tourette syndrome.","Schizophrenia adults: Start 2mg/day (divided or once daily), target 4-8mg/day. Bipolar mania: Start 2-3mg/day. Autism irritability: 0.25-0.5mg/day initially. Adjust based on response and tolerability. May take with or without food.",,"Generally better tolerability profile than first-generation antipsychotics. May be used in children with autism for irritability management (aggression, self-injury, tantrums). Take consistently at same time each day. Full therapeutic effect may take 2-4 weeks for schizophrenia, 1-2 weeks for acute mania. Available as oral solution for patients unable to swallow tablets.",Hypersensitivity to risperidone or paliperidone. Use extreme caution in elderly with dementia-related psychosis (increased mortality and stroke risk).,"May cause weight gain (moderate, less than olanzapine), increased prolactin levels (may cause galactorrhea, menstrual irregularities, sexual dysfunction), orthostatic hypotension, and extrapyramidal symptoms (EPS) especially at higher doses. Risk of tardive dyskinesia with long-term use. Risk of neuroleptic malignant syndrome (rare). May cause hyperglycemia and diabetes - monitor blood glucose. May cause QT prolongation - caution with other QT-prolonging drugs. Dose reduction needed in renal or hepatic impairment. May impair body temperature regulation. Avoid alcohol."
Reone,Risperidone,Atypical Antipsychotic / Second-Generation Antipsychotic,1mg (30 tablets),930,744,Antipsychotic,"Reone (Risperidone) is a second-generation antipsychotic medication used to treat schizophrenia, bipolar disorder, and irritability associated with autism. It effectively manages psychotic symptoms and mood disturbances through balanced dopamine and serotonin receptor modulation, with applications across multiple age groups.","Acts as an antagonist at dopamine D2 receptors and serotonin 5-HT2A receptors with high affinity for both. The balanced antagonism at these receptors helps control positive symptoms (hallucinations, delusions) and negative symptoms (social withdrawal, lack of motivation, flat affect) of schizophrenia while maintaining a lower risk of extrapyramidal symptoms compared to first-generation antipsychotics. Also blocks alpha-1 adrenergic and H1 histamine receptors.","Schizophrenia in adults and adolescents (13+). Acute manic or mixed episodes in bipolar I disorder (monotherapy or with lithium/valproate) in adults and children (10+). Irritability associated with autistic disorder in children and adolescents (5-16 years). Off-label: psychotic symptoms, aggression in dementia, Tourette syndrome.","Schizophrenia adults: Start 2mg/day (divided or once daily), target 4-8mg/day. Bipolar mania: Start 2-3mg/day. Autism irritability: 0.25-0.5mg/day initially. Adjust based on response and tolerability. May take with or without food.",,"Generally better tolerability profile than first-generation antipsychotics. May be used in children with autism for irritability management (aggression, self-injury, tantrums). Take consistently at same time each day. Full therapeutic effect may take 2-4 weeks for schizophrenia, 1-2 weeks for acute mania. Available as oral solution for patients unable to swallow tablets.",Hypersensitivity to risperidone or paliperidone. Use extreme caution in elderly with dementia-related psychosis (increased mortality and stroke risk).,"May cause weight gain (moderate, less than olanzapine), increased prolactin levels (may cause galactorrhea, menstrual irregularities, sexual dysfunction), orthostatic hypotension, and extrapyramidal symptoms (EPS) especially at higher doses. Risk of tardive dyskinesia with long-term use. Risk of neuroleptic malignant syndrome (rare). May cause hyperglycemia and diabetes - monitor blood glucose. May cause QT prolongation - caution with other QT-prolonging drugs. Dose reduction needed in renal or hepatic impairment. May impair body temperature regulation. Avoid alcohol."
Conjupram,Escitalopram,Selective Serotonin Reuptake Inhibitor (SSRI) / Antidepressant,10mg (1 box),1750,1400,Antidepressant,"Conjupram (Escitalopram) is a highly selective SSRI antidepressant with superior efficacy and tolerability among its class. It is the pure S-enantiomer of citalopram, approximately 150 times more potent than the R-enantiomer, providing effective treatment for depression and multiple anxiety disorders with minimal off-target effects and faster onset of action.","Selectively blocks the serotonin transporter (SERT) at both the orthosteric (primary) binding site and an allosteric site, preventing serotonin reuptake into presynaptic neurons. This dual binding increases the rate of serotonin blockade and prolongs its duration. Increased synaptic serotonin availability gradually restores normal mood regulation and reduces anxiety. Escitalopram has the highest selectivity for SERT among all SSRIs (selectivity ratio >1000:1 for SERT vs NET), contributing to its favorable side effect profile.","Major depressive disorder (MDD), generalized anxiety disorder (GAD), panic disorder with or without agoraphobia, social anxiety disorder (social phobia), and obsessive-compulsive disorder (OCD).","Initial: 10mg once daily (morning or evening). May increase to 20mg daily after minimum 1 week if needed. Elderly/hepatic impairment: Maximum 10mg daily. Take same time each day, with or without food. Swallow whole with water.",,"Full therapeutic effect may take 4-6 weeks, though some improvement may be seen in 1-2 weeks. Among SSRIs, escitalopram shows superior efficacy and faster onset of action compared to citalopram, fluoxetine, paroxetine, and sertraline in meta-analyses. Generally well-tolerated with lower discontinuation rates due to adverse effects. Do not stop abruptly - gradual tapering over 1-2 weeks minimum required to prevent discontinuation syndrome.",Concurrent use with MAOIs (allow 14-day washout period) or within 14 days of stopping MAOIs. Concurrent use with pimozide. Hypersensitivity to escitalopram or citalopram.,"Black box warning: May increase suicidal thoughts and behavior in children, adolescents, and young adults (18-24) during initial treatment - close monitoring required especially first few weeks. Risk of serotonin syndrome, especially when combined with other serotonergic drugs (tramadol, triptans, other antidepressants, St. John's Wort). May cause sexual dysfunction (delayed ejaculation, decreased libido, anorgasmia), weight changes, insomnia or drowsiness, nausea, headache. May cause QT prolongation at doses above 20mg. Avoid alcohol. May increase bleeding risk, especially with NSAIDs or anticoagulants. Use caution in bipolar disorder - may precipitate manic episode. Gradual discontinuation needed to prevent withdrawal symptoms (dizziness, nausea, headache, irritability, sensory disturbances)."
Clopifar,Clopidogrel,Antiplatelet Agent / P2Y12 Inhibitor / Thienopyridine,75mg (30 tablets),1450,1160,Antiplatelet,"Clopifar (Clopidogrel) is an irreversible antiplatelet medication that prevents blood clot formation, significantly reducing the risk of heart attack and stroke in patients with cardiovascular disease. It works by permanently blocking platelet activation, providing sustained cardiovascular protection and improving outcomes in patients with atherothrombotic disease.","Irreversibly inhibits the platelet P2Y12 adenosine diphosphate (ADP) receptor, preventing ADP-induced platelet activation and aggregation. This blocks the activation of the glycoprotein IIb/IIIa receptor complex, which normally binds fibrinogen to connect and aggregate platelets. As a prodrug, clopidogrel requires activation by CYP enzymes (primarily CYP2C19, also CYP3A4) through a 2-step bioactivation process to its active thiol metabolite. Once activated, it permanently modifies the P2Y12 receptor for the platelet's lifespan (7-10 days).","Prevention of atherothrombotic events: recent myocardial infarction (heart attack), recent ischemic stroke, established peripheral arterial disease. Acute coronary syndrome (unstable angina, NSTEMI, STEMI with or without fibrinolysis). Prevention of stent thrombosis after percutaneous coronary intervention (PCI). Secondary prevention of cardiovascular events in patients with atherosclerotic disease.","Standard maintenance: 75mg once daily. Acute coronary syndrome: 300-600mg loading dose, then 75mg daily. STEMI: 75mg daily (may give 300mg loading if age ≤75). Continue indefinitely unless bleeding risk outweighs benefit. Take with or without food, same time daily.",,"Reduces risk of cardiovascular death, MI, and stroke by approximately 20% compared to aspirin alone. Platelet inhibition occurs within 2 hours of loading dose, with steady-state reached in 3-7 days with daily dosing. Antiplatelet effects persist for 5-7 days after discontinuation (platelet lifespan). Typically combined with aspirin (dual antiplatelet therapy/DAPT) after stent placement - continue DAPT for recommended duration (1-12 months depending on stent type and bleeding risk). Inform all healthcare providers and dentists you are taking this medication before any procedure or surgery.","Active pathological bleeding (active peptic ulcer, intracranial hemorrhage). Hypersensitivity to clopidogrel or any component.","Increased bleeding risk - report unusual bleeding, bruising, blood in urine/stool, severe headache, or signs of GI bleeding. Do not discontinue without consulting physician, especially within first year after stent placement (risk of stent thrombosis with MI/death). Reduced efficacy in CYP2C19 poor metabolizers (2-14% of population, higher in Asians) - genetic testing may be considered for high-risk patients; alternative agents (prasugrel, ticagrelor) may be preferred. Increased risk of thrombotic events if stopped prematurely. May cause thrombotic thrombocytopenic purpura (TTP) - rare but serious. Avoid concurrent use with omeprazole or esomeprazole (reduce clopidogrel effectiveness). Use caution with drugs that increase bleeding risk (anticoagulants, NSAIDs). Inform surgeon before elective surgery - may need to discontinue 5-7 days prior depending on procedure and bleeding risk."
Neurotain,Food Supplement,Nutritional/Food Supplement,30 capsules,3300,2640,Food Supplement,"Neurotain is a nutritional food supplement formulated to support overall health and wellness through comprehensive nutritional support. It provides supplementary vitamins, minerals, and nutrients to complement a balanced diet and healthy lifestyle.","Provides essential and supplementary nutrients that support normal physiological functions, cellular health, immune function, and overall wellness through bioavailable forms of vitamins, minerals, and other nutritional compounds.",General nutritional supplementation for adults. Supports overall health and wellness as part of a balanced diet. May help fill nutritional gaps in daily diet.,As directed on product label. Typically 1-2 capsules daily with meals. 30 capsules per container.,,"This is a food supplement, not a medicine. Not intended to diagnose, treat, cure, or prevent any disease. Should be used as part of a healthy lifestyle including balanced diet and regular exercise. Best results when taken consistently. Store in cool, dry place away from direct sunlight. Consult healthcare provider before use if pregnant, nursing, taking medications, or have existing medical conditions.","Specific contraindications vary by formulation - consult product label and healthcare provider regarding individual health conditions, allergies, and medication interactions.","Do not exceed recommended dose. Keep out of reach of children. Discontinue use and consult healthcare provider if adverse reactions occur. Not a substitute for varied diet. If symptoms persist, consult healthcare professional."
Neurotain Plus,Food Supplement,Nutritional/Food Supplement (Enhanced Formula),30 capsules,3300,2640,Food Supplement,Neurotain Plus is an enhanced nutritional food supplement formulated to provide comprehensive supplementary nutrition with an advanced formula. It supports overall health and wellness with additional beneficial compounds beyond standard supplementation.,"Provides essential and supplementary nutrients in enhanced dosages or combinations that support normal physiological functions, cellular health, antioxidant defense, immune function, and overall wellness through bioavailable and synergistic nutritional compounds.","General nutritional supplementation for adults seeking enhanced nutritional support. Supports overall health, vitality, and wellness as part of a balanced diet. May help optimize nutritional status and support active lifestyles.",As directed on product label. Typically 1-2 capsules daily with meals. 30 capsules per container.,,"This is a food supplement with enhanced formulation, not a medicine. Not intended to diagnose, treat, cure, or prevent any disease. Should be used as part of a healthy lifestyle including balanced diet and regular exercise. Best results when taken consistently as part of daily routine. Store in cool, dry place away from direct sunlight.","Specific contraindications vary by formulation - consult product label and healthcare provider regarding individual health conditions, pregnancy, nursing, allergies, and medication interactions.","Do not exceed recommended dose. Keep out of reach of children. Discontinue use and consult healthcare provider if adverse reactions occur. Not a substitute for varied diet. If symptoms persist, consult healthcare professional. Consult physician before use if pregnant, nursing, or taking medications."
Ricoverin,Food Supplement,Nutritional/Food Supplement (Recovery Support),30 capsules,1100,880,Food Supplement,"Ricoverin is a nutritional food supplement designed to support recovery and overall wellness through targeted nutritional support. It provides supplementary nutrition to help maintain health, vitality, and support the body's natural recovery processes during convalescence or periods of increased nutritional needs.","Provides essential nutrients, vitamins, minerals, and supportive compounds that may aid in recovery processes, support immune function, cellular repair, energy metabolism, and overall wellness through bioavailable nutritional ingredients.",General nutritional supplementation for adults. May support recovery and overall wellness during convalescence or periods of increased nutritional demand. Supports health maintenance as part of a balanced diet.,As directed on product label. Typically 1-2 capsules daily with meals. 30 capsules per container.,,"This is a food supplement for nutritional support, not a medicine. Not intended to diagnose, treat, cure, or prevent any disease. Should be used as part of a healthy lifestyle including balanced diet, adequate rest, and regular exercise. Best results when taken consistently. Consult healthcare provider for proper medical care during illness or recovery.","Specific contraindications vary by formulation - consult product label and healthcare provider regarding individual health conditions, pregnancy, nursing, allergies, and medication interactions.","Do not exceed recommended dose. Keep out of reach of children. Not a substitute for medical treatment or varied diet. Discontinue use and consult healthcare provider if adverse reactions occur. If symptoms persist or worsen, consult healthcare professional immediately."
Ricoverin Plus,Food Supplement,Nutritional/Food Supplement (Enhanced Recovery Support),30 capsules,1100,880,Food Supplement,"Ricoverin Plus is an enhanced nutritional food supplement with an advanced formulation to support recovery, health maintenance, and overall wellness during periods of convalescence or increased nutritional requirements. It provides comprehensive nutritional support with additional beneficial compounds.","Provides essential and enhanced nutrients, vitamins, minerals, antioxidants, and supportive compounds in optimized dosages that may aid in recovery processes, support immune function, cellular repair, energy metabolism, and overall wellness through synergistic and bioavailable nutritional ingredients.","General nutritional supplementation for adults seeking enhanced recovery support. May support recovery and overall wellness during convalescence, post-illness, or periods of increased nutritional demand. Supports health maintenance and vitality.",As directed on product label. Typically 1-2 capsules daily with meals. 30 capsules per container provides comprehensive support.,,"This is a food supplement with enhanced recovery support formula, not a medicine. Not intended to diagnose, treat, cure, or prevent any disease. Should be used as part of comprehensive recovery approach including balanced diet, adequate rest, hydration, and medical care. Best results when taken consistently during recovery period.","Specific contraindications vary by formulation - consult product label and healthcare provider regarding individual health conditions, pregnancy, nursing, allergies, and medication interactions.","Do not exceed recommended dose. Keep out of reach of children. Not a substitute for medical treatment or varied diet. Discontinue use and consult healthcare provider if adverse reactions occur. Consult physician before use if pregnant, nursing, taking medications, or have existing medical conditions."
